,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1961,15.9,-4.7,13.075000000000001,1083.3999999999999,850.3000000000001,94.0,Braemar,12.413123999737635,17.569999999999997,-4.0054545454545405,1103.7539393939387,778.6693939393938,101.04545454545462
1,1962,12.3,-4.1,5.96,478.99999999999994,367.8,77.0,Braemar,12.43285426905723,17.569598308668073,-3.9634460887949245,1101.7302889358698,779.251472868217,100.64059196617347
2,1963,17.0,-1.1,16.2125,826.0,670.8,36.0,Braemar,12.452584538376826,17.56919661733615,-3.9214376321353086,1099.7066384778009,779.83355179704,100.23572938689222
3,1964,16.8,-2.7,12.916666666666666,1123.6000000000001,699.9,97.0,Braemar,12.472314807696414,17.568794926004227,-3.8794291754756927,1097.6829880197315,780.4156307258631,99.83086680761107
4,1965,16.2,-3.2,10.436363636363636,998.9999999999999,635.1999999999999,121.0,Braemar,12.492045077016009,17.5683932346723,-3.8374207188160767,1095.6593375616626,780.9977096546863,99.42600422832982
5,1966,16.7,-3.4,12.3,912.3,895.6,92.0,Braemar,12.511775346335604,17.567991543340376,-3.7954122621564466,1093.6356871035937,781.5797885835093,99.02114164904867
6,1967,17.4,-0.5,13.541666666666664,1145.5,955.1,83.0,Braemar,12.531505615655192,17.567589852008453,-3.7534038054968306,1091.6120366455243,782.1618675123325,98.61627906976753
7,1968,18.1,-6.6,12.041666666666666,1120.5,804.0,117.0,Braemar,12.551235884974787,17.56718816067653,-3.7113953488372147,1089.5883861874554,782.7439464411557,98.21141649048627
8,1969,18.5,-6.0,12.174999999999997,1232.4999999999998,776.3,121.0,Braemar,12.570966154294382,17.566786469344606,-3.6693868921775987,1087.5647357293865,783.3260253699787,97.80655391120513
9,1970,18.9,-5.0,12.200000000000001,1212.0000000000002,922.9999999999999,116.0,Braemar,12.59069642361397,17.566384778012683,-3.6273784355179686,1085.5410852713171,783.9081042988018,97.40169133192398
10,1971,18.1,-1.5,14.033333333333331,1265.1999999999998,669.0,99.0,Braemar,12.610426692933565,17.56598308668076,-3.5853699788583526,1083.5174348132482,784.490183227625,96.99682875264273
11,1972,18.7,-1.8,12.358333333333333,1248.8999999999999,810.0,108.0,Braemar,12.63015696225316,17.565581395348833,-3.5433615221987367,1081.4937843551793,785.072262156448,96.59196617336158
12,1973,17.8,-3.3,12.85,1256.3,678.3000000000001,111.0,Braemar,12.649887231572748,17.56517970401691,-3.5013530655391207,1079.47013389711,785.6543410852712,96.18710359408044
13,1974,16.2,-1.0,13.936363636363637,1129.0,737.8,73.0,Braemar,12.669617500892343,17.564778012684986,-3.4593446088794906,1077.446483439041,786.2364200140944,95.78224101479918
14,1975,21.0,-1.8,15.427272727272726,1260.3,721.9000000000001,87.0,Braemar,12.689347770211938,17.564376321353063,-3.4173361522198746,1075.422832980972,786.8184989429174,95.37737843551804
15,1976,20.9,-3.5,13.783333333333333,1195.5,867.4999999999999,109.0,Braemar,12.709078039531526,17.56397463002114,-3.3753276955602587,1073.3991825229027,787.4005778717406,94.9725158562369
16,1977,19.5,-3.8,13.127272727272725,1205.1,798.3000000000001,91.0,Braemar,12.728808308851121,17.563572938689216,-3.3333192389006427,1071.3755320648338,787.9826568005637,94.56765327695564
17,1978,16.6,-4.3,14.663636363636364,1078.1,854.7,81.0,Braemar,12.748538578170717,17.56317124735729,-3.2913107822410126,1069.351881606765,788.5647357293867,94.1627906976745
18,1979,17.8,-7.4,11.483333333333336,1108.8999999999999,916.0,128.0,Braemar,12.768268847490305,17.562769556025366,-3.2493023255813966,1067.3282311486955,789.1468146582099,93.75792811839324
19,1980,16.7,-2.9,15.209999999999997,932.6,735.8000000000001,74.0,Braemar,12.7879991168099,17.562367864693442,-3.2072938689217807,1065.3045806906266,789.7288935870331,93.3530655391121
20,1981,18.7,-1.9,13.863636363636363,1267.1,762.1999999999999,107.0,Braemar,12.807729386129495,17.56196617336152,-3.1652854122621648,1063.2809302325577,790.3109725158561,92.94820295983095
21,1982,20.2,-5.5,13.0,1220.4,1311.1000000000001,105.0,Braemar,12.827459655449083,17.561564482029596,-3.1232769556025346,1061.2572797744883,790.8930514446793,92.5433403805497
22,1983,21.2,-4.8,13.775,1106.8999999999999,947.3000000000001,98.0,Braemar,12.847189924768678,17.561162790697672,-3.0812684989429187,1059.2336293164194,791.4751303735022,92.13847780126855
23,1984,20.1,-4.9,13.341666666666667,1217.8,1052.6,106.0,Braemar,12.866920194088273,17.56076109936575,-3.0392600422833027,1057.2099788583505,792.0572093023254,91.7336152219874
24,1985,16.6,-4.9,11.208333333333336,1038.5,988.3,127.0,Braemar,12.886650463407861,17.560359408033822,-2.9972515856236868,1055.1863284002811,792.6392882311486,91.32875264270615
25,1986,17.6,-6.7,10.872727272727271,1137.1000000000001,908.4999999999998,113.0,Braemar,12.906380732727456,17.5599577167019,-2.9552431289640566,1053.1626779422122,793.2213671599716,90.923890063425
26,1987,17.2,-4.6,11.036363636363635,1001.3000000000001,655.3000000000001,118.0,Braemar,12.926111002047051,17.559556025369975,-2.9132346723044407,1051.1390274841433,793.8034460887948,90.51902748414386
27,1988,19.3,-1.1,13.975000000000001,1207.3,951.5,93.0,Braemar,12.945841271366639,17.559154334038052,-2.8712262156448247,1049.1153770260744,794.385525017618,90.1141649048626
28,1989,21.3,-3.7,14.299999999999999,1381.3999999999999,778.4,88.0,Braemar,12.965571540686234,17.55875264270613,-2.8292177589852088,1047.091726568005,794.9676039464409,89.70930232558146
29,1990,18.1,-1.2,14.75,1299.6,998.8000000000001,72.0,Braemar,12.98530181000583,17.558350951374205,-2.7872093023255786,1045.068076109936,795.5496828752641,89.30443974630032
30,1991,8.5,-2.9,5.525,175.5,293.0,69.0,Braemar,13.005032079325424,17.55794926004228,-2.7452008456659627,1043.0444256518672,796.1317618040873,88.89957716701906
31,1992,18.6,-2.4,13.308333333333332,1261.4,868.9999999999999,99.0,Braemar,13.024762348645012,17.557547568710355,-2.7031923890063467,1041.0207751937978,796.7138407329103,88.49471458773792
32,1993,15.9,-2.4,13.063636363636363,1048.5000000000002,807.1,92.0,Braemar,13.044492617964607,17.55714587737843,-2.661183932346731,1038.997124735729,797.2959196617335,88.08985200845677
33,1994,18.7,-2.4,13.245454545454544,1112.5,820.8000000000001,96.0,Braemar,13.064222887284203,17.556744186046508,-2.6191754756871006,1036.97347427766,797.8779985905567,87.68498942917552
34,1995,22.1,-5.2,12.27,1074.6000000000001,885.3000000000001,109.0,Braemar,13.08395315660379,17.556342494714585,-2.5771670190274847,1034.9498238195906,798.4600775193796,87.28012684989437
35,1996,18.0,-3.2,11.771428571428572,834.6,403.5999999999999,73.0,Braemar,13.103683425923386,17.55594080338266,-2.5351585623678687,1032.9261733615217,799.0421564482028,86.87526427061312
36,1997,6.0,0.9,6.9,13.5,102.0,14.0,Braemar,13.12341369524298,17.555539112050738,-2.493150105708253,1030.9025229034528,799.624235377026,86.47040169133197
37,1998,16.4,-0.7,17.642857142857142,773.6999999999999,524.8,30.0,Braemar,13.143143964562569,17.55513742071881,-2.4511416490486226,1028.8788724453834,800.206314305849,86.06553911205083
38,1999,15.2,-2.2,10.81111111111111,758.5,720.5999999999999,84.0,Braemar,13.162874233882164,17.554735729386888,-2.4091331923890067,1026.8552219873145,800.7883932346722,85.66067653276957
39,2000,17.8,-0.4,14.341666666666669,1250.3,1165.0,81.0,Braemar,13.182604503201759,17.554334038054964,-2.3671247357293907,1024.8315715292456,801.3704721634954,85.25581395348843
40,2001,17.4,-2.8,13.274999999999999,1137.6000000000001,831.8000000000001,116.0,Braemar,13.202334772521347,17.55393234672304,-2.325116279069775,1022.8079210711762,801.9525510923183,84.85095137420728
41,2002,18.5,-0.2,14.725,1074.6999999999998,1116.4,68.0,Braemar,13.222065041840942,17.553530655391118,-2.2831078224101446,1020.7842706131073,802.5346300211415,84.44608879492603
42,2003,19.8,-2.8,15.174999999999997,1348.6,613.6,104.0,Braemar,13.241795311160537,17.553128964059194,-2.2410993657505287,1018.7606201550384,803.1167089499647,84.04122621564488
43,2004,18.4,-1.9,14.933333333333332,1095.7,937.8,86.0,Braemar,13.261525580480125,17.55272727272727,-2.1990909090909128,1016.736969696969,803.6987878787877,83.63636363636374
