family	father	mother	gender	height	kids	male	female
1	78.5	67	M	73.2	4	1	0
1	78.5	67	F	69.2	4	0	1
1	78.5	67	F	69	4	0	1
1	78.5	67	F	69	4	0	1
2	75.5	66.5	M	73.5	4	1	0
2	75.5	66.5	M	72.5	4	1	0
2	75.5	66.5	F	65.5	4	0	1
2	75.5	66.5	F	65.5	4	0	1
3	75	64	M	71	2	1	0
3	75	64	F	68	2	0	1
4	75	64	M	70.5	5	1	0
4	75	64	M	68.5	5	1	0
4	75	64	F	67	5	0	1
4	75	64	F	64.5	5	0	1
4	75	64	F	63	5	0	1
5	75	58.5	M	72	6	1	0
5	75	58.5	M	69	6	1	0
5	75	58.5	M	68	6	1	0
5	75	58.5	F	66.5	6	0	1
5	75	58.5	F	62.5	6	0	1
5	75	58.5	F	62.5	6	0	1
6	74	68	F	69.5	1	0	1
7	74	68	M	76.5	6	1	0
7	74	68	M	74	6	1	0
7	74	68	M	73	6	1	0
7	74	68	M	73	6	1	0
7	74	68	F	70.5	6	0	1
7	74	68	F	64	6	0	1
8	74	66.5	F	70.5	3	0	1
8	74	66.5	F	68	3	0	1
8	74	66.5	F	66	3	0	1
9	74.5	66	F	66	1	0	1
10	74	65.5	F	65.5	1	0	1
11	74	62	M	74	8	1	0
11	74	62	M	70	8	1	0
11	74	62	F	68	8	0	1
11	74	62	F	67	8	0	1
11	74	62	F	67	8	0	1
11	74	62	F	66	8	0	1
11	74	62	F	63.5	8	0	1
11	74	62	F	63	8	0	1
12	74	61	F	65	1	0	1
14	73	67	M	68	2	1	0
14	73	67	M	67	2	1	0
15	73	66.5	M	71	3	1	0
15	73	66.5	M	70.5	3	1	0
15	73	66.5	F	66.7	3	0	1
16	73	65	M	72	9	1	0
16	73	65	M	70.5	9	1	0
16	73	65	M	70.2	9	1	0
16	73	65	M	70.2	9	1	0
16	73	65	M	69.2	9	1	0
16	73	65	F	68.7	9	0	1
16	73	65	F	66.5	9	0	1
16	73	65	F	64.5	9	0	1
16	73	65	F	63.5	9	0	1
17	73	64.5	M	74	6	1	0
17	73	64.5	M	73	6	1	0
17	73	64.5	M	71.5	6	1	0
17	73	64.5	M	62.5	6	1	0
17	73	64.5	F	66.5	6	0	1
17	73	64.5	F	62.3	6	0	1
18	73	64	F	66	3	0	1
18	73	64	F	64.5	3	0	1
18	73	64	F	64	3	0	1
19	73.2	63	F	62.7	1	0	1
20	72.7	69	M	73.2	8	1	0
20	72.7	69	M	73	8	1	0
20	72.7	69	M	72.7	8	1	0
20	72.7	69	F	70	8	0	1
20	72.7	69	F	69	8	0	1
20	72.7	69	F	68.5	8	0	1
20	72.7	69	F	68	8	0	1
20	72.7	69	F	66	8	0	1
21	72	68	M	73	3	1	0
21	72	68	F	68.5	3	0	1
21	72	68	F	68	3	0	1
22	72	67	M	73	3	1	0
22	72	67	M	71	3	1	0
22	72	67	F	67	3	0	1
23	72	65	M	74.2	7	1	0
23	72	65	M	70.5	7	1	0
23	72	65	M	69.5	7	1	0
23	72	65	F	66	7	0	1
23	72	65	F	65.5	7	0	1
23	72	65	F	65	7	0	1
23	72	65	F	65	7	0	1
24	72	65.5	F	65.5	1	0	1
25	72	64	F	66	2	0	1
25	72	64	F	63	2	0	1
26	72	63	M	70.5	5	1	0
26	72	63	M	70.5	5	1	0
26	72	63	M	69	5	1	0
26	72	63	F	65	5	0	1
26	72	63	F	63	5	0	1
27	72	63	M	69	3	1	0
27	72	63	M	67	3	1	0
27	72	63	F	63	3	0	1
28	72	63	M	73	6	1	0
28	72	63	M	67	6	1	0
28	72	63	F	70.5	6	0	1
28	72	63	F	70	6	0	1
28	72	63	F	66.5	6	0	1
28	72	63	F	63	6	0	1
29	72.5	63.5	F	67.5	3	0	1
29	72.5	63.5	F	67.2	3	0	1
29	72.5	63.5	F	66.7	3	0	1
30	72	62	F	64	1	0	1
31	72.5	62	M	71	6	1	0
31	72.5	62	M	70	6	1	0
31	72.5	62	M	70	6	1	0
31	72.5	62	F	66	6	0	1
31	72.5	62	F	65	6	0	1
31	72.5	62	F	65	6	0	1
32	72	62	M	74	5	1	0
32	72	62	M	72	5	1	0
32	72	62	M	69	5	1	0
32	72	62	F	67.5	5	0	1
32	72	62	F	63.5	5	0	1
33	72	62	M	72	5	1	0
33	72	62	M	71.5	5	1	0
33	72	62	M	71.5	5	1	0
33	72	62	M	70	5	1	0
33	72	62	F	68	5	0	1
34	72	61	F	65.7	1	0	1
35	71	69	M	78	5	1	0
35	71	69	M	74	5	1	0
35	71	69	M	73	5	1	0
35	71	69	M	72	5	1	0
35	71	69	F	67	5	0	1
36	71	67	M	73.2	4	1	0
36	71	67	M	73	4	1	0
36	71	67	M	69	4	1	0
36	71	67	F	67	4	0	1
37	71	66	M	70	4	1	0
37	71	66	F	67	4	0	1
37	71	66	F	67	4	0	1
37	71	66	F	66.5	4	0	1
38	71	66	M	70	6	1	0
38	71	66	M	69	6	1	0
38	71	66	M	68.5	6	1	0
38	71	66	F	66	6	0	1
38	71	66	F	64.5	6	0	1
38	71	66	F	63	6	0	1
39	71	66	M	71	2	1	0
39	71	66	F	67	2	0	1
40	71	66	M	76	5	1	0
40	71	66	M	72	5	1	0
40	71	66	M	71	5	1	0
40	71	66	M	66	5	1	0
40	71	66	F	66	5	0	1
41	71.7	65.5	M	70.5	1	1	0
42	71	65.5	M	72	6	1	0
42	71	65.5	M	72	6	1	0
42	71	65.5	M	71	6	1	0
42	71	65.5	M	69	6	1	0
42	71	65.5	F	66	6	0	1
42	71	65.5	F	65	6	0	1
43	71.5	65.5	M	73	2	1	0
43	71.5	65.5	F	65.2	2	0	1
44	71.5	65	M	68.5	2	1	0
44	71.5	65	M	67.7	2	1	0
45	71	65	M	68	3	1	0
45	71	65	M	68	3	1	0
45	71	65	F	62	3	0	1
46	71	64	F	68	8	0	1
46	71	64	F	68	8	0	1
46	71	64	F	67.5	8	0	1
46	71	64	F	66.5	8	0	1
46	71	64	F	66.5	8	0	1
46	71	64	F	66	8	0	1
46	71	64	F	65.5	8	0	1
46	71	64	F	65	8	0	1
47	71.7	64.5	M	72	4	1	0
47	71.7	64.5	M	71	4	1	0
47	71.7	64.5	M	70.5	4	1	0
47	71.7	64.5	F	67	4	0	1
48	71	64	M	68	3	1	0
48	71	64	M	68	3	1	0
48	71	64	M	68	3	1	0
49	71.5	64.5	M	72	7	1	0
49	71.5	64.5	M	71	7	1	0
49	71.5	64.5	M	70	7	1	0
49	71.5	64.5	F	66	7	0	1
49	71.5	64.5	F	64.5	7	0	1
49	71.5	64.5	F	64.5	7	0	1
49	71.5	64.5	F	62	7	0	1
51	71.2	63	F	67.5	2	0	1
51	71.2	63	F	64.5	2	0	1
52	71	63.5	M	71	5	1	0
52	71	63.5	M	67	5	1	0
52	71	63.5	F	66	5	0	1
52	71	63.5	F	65	5	0	1
52	71	63.5	F	63.5	5	0	1
53	71	63	M	71	9	1	0
53	71	63	M	70	9	1	0
53	71	63	M	70	9	1	0
53	71	63	M	64	9	1	0
53	71	63	F	65	9	0	1
53	71	63	F	65	9	0	1
53	71	63	F	64	9	0	1
53	71	63	F	63	9	0	1
53	71	63	F	63	9	0	1
54	71	63	M	71	4	1	0
54	71	63	M	71	4	1	0
54	71	63	M	70	4	1	0
54	71	63	F	63.5	4	0	1
55	71	62	M	71	5	1	0
55	71	62	M	70	5	1	0
55	71	62	F	64.5	5	0	1
55	71	62	F	62.5	5	0	1
55	71	62	F	61.5	5	0	1
56	71	62	M	72	5	1	0
56	71	62	M	70.5	5	1	0
56	71	62	M	70.5	5	1	0
56	71	62	F	64.5	5	0	1
56	71	62	F	60	5	0	1
57	71	62.5	M	70	5	1	0
57	71	62.5	F	64	5	0	1
57	71	62.5	F	64	5	0	1
57	71	62.5	F	64	5	0	1
57	71	62.5	F	62.5	5	0	1
58	71	62	M	70.5	7	1	0
58	71	62	M	70	7	1	0
58	71	62	M	69	7	1	0
58	71	62	M	69	7	1	0
58	71	62	M	66	7	1	0
58	71	62	F	64.5	7	0	1
58	71	62	F	64	7	0	1
59	71	61	F	62	1	0	1
60	71	58	M	71.5	2	1	0
60	71	58	M	69	2	1	0
61	70	69	M	71	4	1	0
61	70	69	M	70	4	1	0
61	70	69	M	69	4	1	0
61	70	69	F	69	4	0	1
62	70	69	M	70	6	1	0
62	70	69	M	68.7	6	1	0
62	70	69	F	68	6	0	1
62	70	69	F	66	6	0	1
62	70	69	F	64	6	0	1
62	70	69	F	62	6	0	1
63	70	68	M	75	1	1	0
64	70	67	M	70	5	1	0
64	70	67	M	69	5	1	0
64	70	67	F	66	5	0	1
64	70	67	F	64	5	0	1
64	70	67	F	60	5	0	1
65	70	67	F	67.5	1	0	1
66	70	66.5	M	73	11	1	0
66	70	66.5	M	72	11	1	0
66	70	66.5	M	72	11	1	0
66	70	66.5	M	66.5	11	1	0
66	70	66.5	F	69.2	11	0	1
66	70	66.5	F	67.2	11	0	1
66	70	66.5	F	66.5	11	0	1
66	70	66.5	F	66	11	0	1
66	70	66.5	F	66	11	0	1
66	70	66.5	F	64.2	11	0	1
66	70	66.5	F	63.7	11	0	1
67	70.5	65	M	72	4	1	0
67	70.5	65	M	70.2	4	1	0
67	70.5	65	M	69	4	1	0
67	70.5	65	M	68.5	4	1	0
68	70.5	65	F	68	5	0	1
68	70.5	65	F	65	5	0	1
68	70.5	65	F	61.5	5	0	1
68	70.5	65	F	61	5	0	1
68	70.5	65	F	61	5	0	1
69	70	65	M	73	8	1	0
69	70	65	M	72	8	1	0
69	70	65	M	70.5	8	1	0
69	70	65	M	65	8	1	0
69	70	65	M	65	8	1	0
69	70	65	F	64.5	8	0	1
69	70	65	F	63	8	0	1
69	70	65	F	62	8	0	1
70	70	65	M	67	5	1	0
70	70	65	M	65	5	1	0
70	70	65	F	64.5	5	0	1
70	70	65	F	62.5	5	0	1
70	70	65	F	62.5	5	0	1
71	70	65	M	70	6	1	0
71	70	65	M	70	6	1	0
71	70	65	F	67	6	0	1
71	70	65	F	65	6	0	1
71	70	65	F	65	6	0	1
71	70	65	F	63	6	0	1
72	70	65	M	79	7	1	0
72	70	65	M	75	7	1	0
72	70	65	M	71	7	1	0
72	70	65	F	69	7	0	1
72	70	65	F	67	7	0	1
72	70	65	F	65.7	7	0	1
72	70	65	F	62	7	0	1
73	70	65	M	73	3	1	0
73	70	65	M	72.5	3	1	0
73	70	65	F	65	3	0	1
74	70	65	M	69	2	1	0
74	70	65	M	69	2	1	0
75	70	64.7	M	72	7	1	0
75	70	64.7	M	70	7	1	0
75	70	64.7	M	68.7	7	1	0
75	70	64.7	F	66.5	7	0	1
75	70	64.7	F	65.5	7	0	1
75	70	64.7	F	64.7	7	0	1
75	70	64.7	F	64.5	7	0	1
76	70	64	M	70.7	7	1	0
76	70	64	M	70	7	1	0
76	70	64	M	68	7	1	0
76	70	64	M	67	7	1	0
76	70	64	M	66	7	1	0
76	70	64	M	65	7	1	0
76	70	64	F	67	7	0	1
77	70	64	M	70	4	1	0
77	70	64	M	68	4	1	0
77	70	64	M	66.7	4	1	0
77	70	64	F	65.5	4	0	1
78	70	64.2	M	72	5	1	0
78	70	64.2	M	70	5	1	0
78	70	64.2	F	62.5	5	0	1
78	70	64.2	F	61.2	5	0	1
78	70	64.2	F	60.1	5	0	1
79	70.5	64	M	74	8	1	0
79	70.5	64	M	69.5	8	1	0
79	70.5	64	M	69	8	1	0
79	70.5	64	M	68	8	1	0
79	70.5	64	M	68	8	1	0
79	70.5	64	M	68	8	1	0
79	70.5	64	F	65.5	8	0	1
79	70.5	64	F	65	8	0	1
80	70.5	64.5	F	60	1	0	1
81	70	64	M	68	4	1	0
81	70	64	F	65	4	0	1
81	70	64	F	64	4	0	1
81	70	64	F	62	4	0	1
82	70	64	M	71	9	1	0
82	70	64	M	70	9	1	0
82	70	64	M	70	9	1	0
82	70	64	M	70	9	1	0
82	70	64	M	69.5	9	1	0
82	70	64	M	68.5	9	1	0
82	70	64	F	69	9	0	1
82	70	64	F	65	9	0	1
82	70	64	F	64	9	0	1
83	70	63.7	M	70	8	1	0
83	70	63.7	M	67	8	1	0
83	70	63.7	M	65.5	8	1	0
83	70	63.7	F	63.7	8	0	1
83	70	63.7	F	63.2	8	0	1
83	70	63.7	F	62.5	8	0	1
83	70	63.7	F	62.2	8	0	1
83	70	63.7	F	61	8	0	1
85	70.5	63	M	72.5	5	1	0
85	70.5	63	M	69	5	1	0
85	70.5	63	M	67	5	1	0
85	70.5	63	F	64.5	5	0	1
85	70.5	63	F	64	5	0	1
86	70	63.5	M	71	4	1	0
86	70	63.5	M	67.5	4	1	0
86	70	63.5	F	67.5	4	0	1
86	70	63.5	F	63.5	4	0	1
87	70	63	M	68	4	1	0
87	70	63	M	67	4	1	0
87	70	63	F	63.7	4	0	1
87	70	63	F	62	4	0	1
88	70	63	M	70	4	1	0
88	70	63	M	66.5	4	1	0
88	70	63	F	62	4	0	1
88	70	63	F	61	4	0	1
89	70.5	62	M	72	8	1	0
89	70.5	62	M	70	8	1	0
89	70.5	62	M	69.5	8	1	0
89	70.5	62	M	69.5	8	1	0
89	70.5	62	M	68	8	1	0
89	70.5	62	F	65	8	0	1
89	70.5	62	F	64	8	0	1
89	70.5	62	F	63	8	0	1
90	70.3	62.7	M	70.7	7	1	0
90	70.3	62.7	M	69.7	7	1	0
90	70.3	62.7	M	69.2	7	1	0
90	70.3	62.7	M	65.2	7	1	0
90	70.3	62.7	F	64	7	0	1
90	70.3	62.7	F	63.5	7	0	1
90	70.3	62.7	F	63.2	7	0	1
91	70.5	62	M	72	3	1	0
91	70.5	62	M	72	3	1	0
91	70.5	62	F	60	3	0	1
92	70	61	M	71.2	2	1	0
92	70	61	M	67	2	1	0
93	70	60	M	67	4	1	0
93	70	60	M	64.5	4	1	0
93	70	60	F	65	4	0	1
93	70	60	F	63	4	0	1
94	70	60	F	65	2	0	1
94	70	60	F	65	2	0	1
95	70	58.5	M	71.5	3	1	0
95	70	58.5	M	64.5	3	1	0
95	70	58.5	F	63	3	0	1
96	70	58	M	72	5	1	0
96	70	58	M	66	5	1	0
96	70	58	F	66	5	0	1
96	70	58	F	65	5	0	1
96	70	58	F	63	5	0	1
97	69	68.5	M	75	10	1	0
97	69	68.5	M	71	10	1	0
97	69	68.5	M	70	10	1	0
97	69	68.5	F	66	10	0	1
97	69	68.5	F	66	10	0	1
97	69	68.5	F	65.5	10	0	1
97	69	68.5	F	65	10	0	1
97	69	68.5	F	65	10	0	1
97	69	68.5	F	64	10	0	1
97	69	68.5	F	64	10	0	1
98	69	67	F	64	1	0	1
99	69	66	M	73	8	1	0
99	69	66	M	72	8	1	0
99	69	66	M	71.7	8	1	0
99	69	66	M	71.5	8	1	0
99	69	66	F	65.5	8	0	1
99	69	66	F	65	8	0	1
99	69	66	F	62.7	8	0	1
99	69	66	F	62.5	8	0	1
100	69	66	M	71.2	3	1	0
100	69	66	M	71	3	1	0
100	69	66	M	70	3	1	0
101	69	66.7	M	75	6	1	0
101	69	66.7	M	74	6	1	0
101	69	66.7	M	72	6	1	0
101	69	66.7	M	68.5	6	1	0
101	69	66.7	M	67	6	1	0
101	69	66.7	M	66	6	1	0
102	69	66	M	70	6	1	0
102	69	66	M	68.5	6	1	0
102	69	66	M	68	6	1	0
102	69	66	F	65	6	0	1
102	69	66	F	63	6	0	1
102	69	66	F	62.5	6	0	1
103	69	66.5	M	73	5	1	0
103	69	66.5	M	71	5	1	0
103	69	66.5	M	70.5	5	1	0
103	69	66.5	M	70.5	5	1	0
103	69	66.5	F	61	5	0	1
104	69.5	66.5	M	70.5	4	1	0
104	69.5	66.5	M	67.5	4	1	0
104	69.5	66.5	F	64.5	4	0	1
104	69.5	66.5	F	64	4	0	1
105	69	66.5	M	71	6	1	0
105	69	66.5	F	68.5	6	0	1
105	69	66.5	F	67.5	6	0	1
105	69	66.5	F	66	6	0	1
105	69	66.5	F	63	6	0	1
105	69	66.5	F	63	6	0	1
106	69.5	66	M	71	7	1	0
106	69.5	66	M	71	7	1	0
106	69.5	66	M	70.5	7	1	0
106	69.5	66	M	70.5	7	1	0
106	69.5	66	F	66.5	7	0	1
