family	father	mother	gender	height	kids	male	female
106	69.5	66	F	65.5	7	0	1
106	69.5	66	F	64.5	7	0	1
107	69	66	M	73	9	1	0
107	69	66	M	72	9	1	0
107	69	66	M	69	9	1	0
107	69	66	M	69	9	1	0
107	69	66	F	66.5	9	0	1
107	69	66	F	65.5	9	0	1
107	69	66	F	65.5	9	0	1
107	69	66	F	65	9	0	1
107	69	66	F	64	9	0	1
108	69	65	M	70	7	1	0
108	69	65	M	68.5	7	1	0
108	69	65	M	67	7	1	0
108	69	65	F	65	7	0	1
108	69	65	F	64	7	0	1
108	69	65	F	63.5	7	0	1
108	69	65	F	61	7	0	1
109	69.5	64.5	M	69.7	7	1	0
109	69.5	64.5	M	68	7	1	0
109	69.5	64.5	M	60	7	1	0
109	69.5	64.5	F	65.2	7	0	1
109	69.5	64.5	F	64.5	7	0	1
109	69.5	64.5	F	63.7	7	0	1
109	69.5	64.5	F	60	7	0	1
110	69.2	64	M	71.7	4	1	0
110	69.2	64	M	66.5	4	1	0
110	69.2	64	F	65	4	0	1
110	69.2	64	F	63.5	4	0	1
112	69	63	M	69	3	1	0
112	69	63	F	67.5	3	0	1
112	69	63	F	63.5	3	0	1
113	69	63	M	72	1	1	0
114	69	63	M	73	6	1	0
114	69	63	M	70	6	1	0
114	69	63	M	70	6	1	0
114	69	63	M	64	6	1	0
114	69	63	F	66	6	0	1
114	69	63	F	62	6	0	1
115	69	63.5	M	70.5	7	1	0
115	69	63.5	M	67	7	1	0
115	69	63.5	M	66	7	1	0
115	69	63.5	F	65	7	0	1
115	69	63.5	F	63	7	0	1
115	69	63.5	F	62	7	0	1
115	69	63.5	F	61	7	0	1
116	69	63.5	M	70.5	3	1	0
116	69	63.5	F	63.7	3	0	1
116	69	63.5	F	63	3	0	1
117	69.7	62	F	62.5	1	0	1
118	69.5	62	M	73	3	1	0
118	69.5	62	M	72	3	1	0
118	69.5	62	M	69	3	1	0
119	69	62	M	73	5	1	0
119	69	62	M	71	5	1	0
119	69	62	M	71	5	1	0
119	69	62	M	69	5	1	0
119	69	62	F	63	5	0	1
121	69	62.5	M	71	8	1	0
121	69	62.5	M	70	8	1	0
121	69	62.5	M	70	8	1	0
121	69	62.5	M	69	8	1	0
121	69	62.5	F	63.5	8	0	1
121	69	62.5	F	62.5	8	0	1
121	69	62.5	F	62.5	8	0	1
121	69	62.5	F	62	8	0	1
122	69	62	M	72	4	1	0
122	69	62	M	68	4	1	0
122	69	62	F	66	4	0	1
122	69	62	F	66	4	0	1
123	69.5	61	M	70	5	1	0
123	69.5	61	M	69.5	5	1	0
123	69.5	61	M	69	5	1	0
123	69.5	61	F	63	5	0	1
123	69.5	61	F	62	5	0	1
124	69	61	M	68	9	1	0
124	69	61	M	68	9	1	0
124	69	61	M	67.5	9	1	0
124	69	61	M	64	9	1	0
124	69	61	M	63	9	1	0
124	69	61	M	63	9	1	0
124	69	61	F	63.5	9	0	1
124	69	61	F	62	9	0	1
124	69	61	F	62	9	0	1
125	69	60	M	70.5	3	1	0
125	69	60	F	68	3	0	1
125	69	60	F	62.5	3	0	1
126	69	60	M	69	4	1	0
126	69	60	M	66	4	1	0
126	69	60	F	61.7	4	0	1
126	69	60	F	60.5	4	0	1
127	69	60.5	M	69.5	1	1	0
128	68.7	70.5	M	71	2	1	0
128	68.7	70.5	F	61.7	2	0	1
129	68.5	67	M	73	3	1	0
129	68.5	67	M	71	3	1	0
129	68.5	67	F	67	3	0	1
130	68.5	66.5	M	70	11	1	0
130	68.5	66.5	M	69	11	1	0
130	68.5	66.5	M	69	11	1	0
130	68.5	66.5	M	68.7	11	1	0
130	68.5	66.5	M	68.5	11	1	0
130	68.5	66.5	M	68.5	11	1	0
130	68.5	66.5	M	68	11	1	0
130	68.5	66.5	M	68	11	1	0
130	68.5	66.5	M	68	11	1	0
130	68.5	66.5	F	63.2	11	0	1
131	68	65	M	67.5	2	1	0
131	68	65	M	66	2	1	0
132	68	65.5	M	66	2	1	0
132	68	65.5	F	64	2	0	1
133	68	65.5	M	71.7	7	1	0
133	68	65.5	M	71.5	7	1	0
133	68	65.5	M	70.7	7	1	0
133	68	65.5	M	65.5	7	1	0
133	68	65.5	F	66.5	7	0	1
133	68	65.5	F	65.2	7	0	1
133	68	65.5	F	61.5	7	0	1
134	68	65	M	72	4	1	0
134	68	65	M	72	4	1	0
134	68	65	F	68	4	0	1
134	68	65	F	66	4	0	1
135	68.5	65	M	69.2	8	1	0
135	68.5	65	M	68	8	1	0
135	68.5	65	M	66	8	1	0
135	68.5	65	M	66	8	1	0
135	68.5	65	F	62	8	0	1
135	68.5	65	F	61.5	8	0	1
135	68.5	65	F	61	8	0	1
135	68.5	65	F	60	8	0	1
136	68	64	M	71	10	1	0
136	68	64	M	68	10	1	0
136	68	64	M	68	10	1	0
136	68	64	M	67	10	1	0
136	68	64	F	65	10	0	1
136	68	64	F	64	10	0	1
136	68	64	F	63	10	0	1
136	68	64	F	63	10	0	1
136	68	64	F	62	10	0	1
136	68	64	F	61	10	0	1
137	68	64	M	66	4	1	0
137	68	64	M	63	4	1	0
137	68	64	F	65.5	4	0	1
137	68	64	F	62	4	0	1
138	68	64	M	71.2	5	1	0
138	68	64	M	71.2	5	1	0
138	68	64	M	69	5	1	0
138	68	64	M	68.5	5	1	0
138	68	64	F	62.5	5	0	1
139	68	64.5	F	62	1	0	1
140	68	64	M	69	10	1	0
140	68	64	M	67	10	1	0
140	68	64	M	66	10	1	0
140	68	64	F	66	10	0	1
140	68	64	F	66	10	0	1
140	68	64	F	65	10	0	1
140	68	64	F	65	10	0	1
140	68	64	F	65	10	0	1
140	68	64	F	64	10	0	1
140	68	64	F	63	10	0	1
141	68	63	M	70.5	8	1	0
141	68	63	M	70	8	1	0
141	68	63	M	68	8	1	0
141	68	63	M	66	8	1	0
141	68	63	M	66	8	1	0
141	68	63	F	66	8	0	1
141	68	63	F	62	8	0	1
141	68	63	F	61.5	8	0	1
142	68.5	63.5	M	73.5	4	1	0
142	68.5	63.5	M	70	4	1	0
142	68.5	63.5	M	69.5	4	1	0
142	68.5	63.5	F	65.5	4	0	1
143	68	63	M	67	1	1	0
144	68	63	M	70	4	1	0
144	68	63	M	68	4	1	0
144	68	63	F	64.5	4	0	1
144	68	63	F	64	4	0	1
145	68	63	M	71	8	1	0
145	68	63	M	68	8	1	0
145	68	63	M	66	8	1	0
145	68	63	M	65.5	8	1	0
145	68	63	M	65	8	1	0
145	68	63	F	63	8	0	1
145	68	63	F	62	8	0	1
145	68	63	F	62	8	0	1
146	68	63	M	67	6	1	0
146	68	63	M	67	6	1	0
146	68	63	M	66	6	1	0
146	68	63	F	64	6	0	1
146	68	63	F	63.5	6	0	1
146	68	63	F	61	6	0	1
147	68.5	63.5	M	68.2	1	1	0
148	68	63	M	70	1	1	0
149	68.2	63.5	M	70	5	1	0
149	68.2	63.5	M	69	5	1	0
149	68.2	63.5	M	67	5	1	0
149	68.2	63.5	M	65.5	5	1	0
149	68.2	63.5	F	64.5	5	0	1
150	68	62.5	M	68.5	1	1	0
151	68.7	62	M	67.7	2	1	0
151	68.7	62	F	61.7	2	0	1
152	68	62.5	M	66.5	1	1	0
153	68	61	M	68.5	5	1	0
153	68	61	M	68	5	1	0
153	68	61	M	64	5	1	0
153	68	61	F	63.5	5	0	1
153	68	61	F	63	5	0	1
154	68	60.2	M	66.7	1	1	0
155	68	60	M	64	7	1	0
155	68	60	F	61	7	0	1
155	68	60	F	61	7	0	1
155	68	60	F	60	7	0	1
155	68	60	F	60	7	0	1
155	68	60	F	60	7	0	1
155	68	60	F	56	7	0	1
156	68	60	M	67.5	4	1	0
156	68	60	M	67	4	1	0
156	68	60	M	66.5	4	1	0
156	68	60	F	60	4	0	1
157	68.5	59	M	69	1	1	0
158	68	59	M	68	10	1	0
158	68	59	M	65	10	1	0
158	68	59	M	64.7	10	1	0
158	68	59	M	64	10	1	0
158	68	59	M	64	10	1	0
158	68	59	M	63	10	1	0
158	68	59	F	65	10	0	1
158	68	59	F	65	10	0	1
158	68	59	F	62	10	0	1
158	68	59	F	61	10	0	1
159	67	66.2	M	72.7	5	1	0
159	67	66.2	M	72.7	5	1	0
159	67	66.2	M	71.5	5	1	0
159	67	66.2	F	65.5	5	0	1
159	67	66.2	F	63.5	5	0	1
160	67	66.5	M	71	1	1	0
162	67	65	M	69.7	6	1	0
162	67	65	M	67.5	6	1	0
162	67	65	F	65.5	6	0	1
162	67	65	F	65	6	0	1
162	67	65	F	64.5	6	0	1
162	67	65	F	63.5	6	0	1
163	67	65.5	M	70	5	1	0
163	67	65.5	M	69	5	1	0
163	67	65.5	F	65.5	5	0	1
163	67	65.5	F	65.5	5	0	1
163	67	65.5	F	63	5	0	1
164	67	65.5	M	70	4	1	0
164	67	65.5	M	67.7	4	1	0
164	67	65.5	F	63	4	0	1
164	67	65.5	F	60	4	0	1
165	67	65	M	65	3	1	0
165	67	65	F	62	3	0	1
165	67	65	F	62	3	0	1
166	67.5	65	M	71	11	1	0
166	67.5	65	M	69	11	1	0
166	67.5	65	F	64	11	0	1
166	67.5	65	F	64	11	0	1
166	67.5	65	F	63	11	0	1
166	67.5	65	F	63	11	0	1
166	67.5	65	F	63	11	0	1
166	67.5	65	F	63	11	0	1
166	67.5	65	F	63	11	0	1
166	67.5	65	F	62.5	11	0	1
166	67.5	65	F	62	11	0	1
167	67	64	M	71.5	4	1	0
167	67	64	M	70	4	1	0
167	67	64	M	67	4	1	0
167	67	64	M	67	4	1	0
168	67	63.5	M	71	8	1	0
168	67	63.5	M	70.2	8	1	0
168	67	63.5	M	69.2	8	1	0
168	67	63.5	M	68.5	8	1	0
168	67	63.5	M	68	8	1	0
168	67	63.5	M	67	8	1	0
168	67	63.5	M	65.5	8	1	0
168	67	63.5	F	63.5	8	0	1
169	67	63	M	69	3	1	0
169	67	63	M	68	3	1	0
169	67	63	F	63	3	0	1
170	67.5	62	M	70	5	1	0
170	67.5	62	M	69.5	5	1	0
170	67.5	62	M	69	5	1	0
170	67.5	62	M	68.5	5	1	0
170	67.5	62	F	66	5	0	1
171	67	61	M	67	1	1	0
172	66	67	M	70.5	8	1	0
172	66	67	M	70.5	8	1	0
172	66	67	M	67	8	1	0
172	66	67	M	66	8	1	0
172	66	67	M	66	8	1	0
172	66	67	F	62	8	0	1
172	66	67	F	62	8	0	1
172	66	67	F	61.5	8	0	1
173	66	67	M	72	9	1	0
173	66	67	M	65	9	1	0
173	66	67	M	65	9	1	0
173	66	67	F	67	9	0	1
173	66	67	F	64	9	0	1
173	66	67	F	64	9	0	1
173	66	67	F	62	9	0	1
173	66	67	F	60	9	0	1
173	66	67	F	60	9	0	1
174	66	66	M	66	5	1	0
174	66	66	M	65	5	1	0
174	66	66	F	67	5	0	1
174	66	66	F	66.5	5	0	1
174	66	66	F	65.5	5	0	1
175	66	66	M	72	6	1	0
175	66	66	M	68	6	1	0
175	66	66	F	66	6	0	1
175	66	66	F	65	6	0	1
175	66	66	F	62	6	0	1
175	66	66	F	61	6	0	1
176	66.5	65	M	68.7	8	1	0
176	66.5	65	M	68.5	8	1	0
176	66.5	65	M	66.5	8	1	0
176	66.5	65	M	64.5	8	1	0
176	66.5	65	F	62.5	8	0	1
176	66.5	65	F	60.5	8	0	1
176	66.5	65	F	60.5	8	0	1
176	66.5	65	F	57.5	8	0	1
177	66	65.5	M	72	5	1	0
177	66	65.5	M	71	5	1	0
177	66	65.5	M	67	5	1	0
177	66	65.5	F	66	5	0	1
177	66	65.5	F	65	5	0	1
178	66	63	M	70	1	1	0
179	66	63.5	F	64.5	2	0	1
179	66	63.5	F	62	2	0	1
180	66.5	63	M	67.2	6	1	0
180	66.5	63	M	67	6	1	0
180	66.5	63	M	65	6	1	0
180	66.5	63	F	65	6	0	1
180	66.5	63	F	65	6	0	1
180	66.5	63	F	63	6	0	1
181	66.5	62.5	M	70	7	1	0
181	66.5	62.5	M	68	7	1	0
181	66.5	62.5	F	63.5	7	0	1
181	66.5	62.5	F	62.5	7	0	1
181	66.5	62.5	F	62.5	7	0	1
181	66.5	62.5	F	62.5	7	0	1
181	66.5	62.5	F	62.5	7	0	1
182	66	61.5	M	70	1	1	0
183	66	60	M	68	4	1	0
183	66	60	M	67	4	1	0
183	66	60	M	65	4	1	0
183	66	60	F	60	4	0	1
184	66	60	M	65	1	1	0
185	66	59	M	68	15	1	0
185	66	59	M	67	15	1	0
185	66	59	M	66.5	15	1	0
185	66	59	M	66	15	1	0
185	66	59	M	65.7	15	1	0
185	66	59	M	65.5	15	1	0
185	66	59	M	65	15	1	0
185	66	59	F	65	15	0	1
185	66	59	F	64	15	0	1
185	66	59	F	63	15	0	1
185	66	59	F	62	15	0	1
185	66	59	F	61	15	0	1
185	66	59	F	60	15	0	1
185	66	59	F	58	15	0	1
185	66	59	F	57	15	0	1
186	65	67	M	66.5	4	1	0
186	65	67	M	66	4	1	0
186	65	67	M	66	4	1	0
186	65	67	F	65	4	0	1
187	65	67	F	63	1	0	1
188	65	66	M	63	4	1	0
188	65	66	F	63	4	0	1
188	65	66	F	63	4	0	1
188	65	66	F	60	4	0	1
190	65	65	M	69	9	1	0
190	65	65	M	68	9	1	0
190	65	65	M	68	9	1	0
190	65	65	F	65	9	0	1
190	65	65	F	65	9	0	1
190	65	65	F	62	9	0	1
190	65	65	F	62	9	0	1
190	65	65	F	61	9	0	1
190	65	65	F	59	9	0	1
191	65	65.5	M	70.7	2	1	0
191	65	65.5	F	65.5	2	0	1
192	65	65	M	69.2	6	1	0
192	65	65	M	69	6	1	0
192	65	65	M	68	6	1	0
192	65	65	M	67.7	6	1	0
192	65	65	F	64.5	6	0	1
192	65	65	F	60.5	6	0	1
193	65	64	M	67	6	1	0
193	65	64	M	67	6	1	0
193	65	64	F	64	6	0	1
193	65	64	F	64	6	0	1
193	65	64	F	62.5	6	0	1
193	65	64	F	60.5	6	0	1
194	65	63	M	70	2	1	0
194	65	63	F	63	2	0	1
195	65	63	M	66	3	1	0
195	65	63	M	66	3	1	0
195	65	63	F	63	3	0	1
196	65.5	63	M	71	4	1	0
196	65.5	63	M	71	4	1	0
196	65.5	63	M	69	4	1	0
196	65.5	63	F	63.5	4	0	1
197	65.5	60	M	68	5	1	0
197	65.5	60	M	68	5	1	0
197	65.5	60	M	67	5	1	0
197	65.5	60	M	67	5	1	0
197	65.5	60	F	62	5	0	1
198	64	64	M	71.5	7	1	0
198	64	64	M	68	7	1	0
198	64	64	F	65.5	7	0	1
198	64	64	F	64	7	0	1
198	64	64	F	62	7	0	1
198	64	64	F	62	7	0	1
198	64	64	F	61	7	0	1
199	64	64	M	70.5	7	1	0
199	64	64	M	68	7	1	0
199	64	64	F	67	7	0	1
199	64	64	F	65	7	0	1
199	64	64	F	64	7	0	1
199	64	64	F	64	7	0	1
199	64	64	F	60	7	0	1
200	64	63	M	64.5	1	1	0
201	64	60	M	66	2	1	0
201	64	60	F	60	2	0	1
203	62	66	M	64	3	1	0
203	62	66	F	62	3	0	1
203	62	66	F	61	3	0	1
204	62.5	63	M	66.5	2	1	0
204	62.5	63	F	57	2	0	1
136A	68.5	65	M	72	8	1	0
136A	68.5	65	M	70.5	8	1	0
136A	68.5	65	M	68.7	8	1	0
136A	68.5	65	M	68.5	8	1	0
136A	68.5	65	M	67.7	8	1	0
136A	68.5	65	F	64	8	0	1
136A	68.5	65	F	63.5	8	0	1
136A	68.5	65	F	63	8	0	1
