COL1,,,Voting Intention,,,,,,,,,,,Gender,,Age,,Age,,,,,,,,,,,Region,,,,,,,,,,,,Educational quals,,,,,,,Voting Likelihood,,,,,,Voted 2019,,,2019 Vote,,,,,,,,,,,EU Referendum Voter,,,,,EU Referendum Vote,,Future EU Referendum Vote,,,
COL,,Total,Conservative,Labour,Liberal Democrats,SNP,Plaid Cymru,Reform,Green,Other,Independent,Don't Know,Would not vote,Male,Female, Under 40, 40+,18-24,25-34,35-44,45-54,55-64,65-74,75+,Gen X (42-58),Xoomers (46-49),Xennials (40-45),Millennials (27-41),Wales,South East,East,East Midlands,North West,Scotland,South West,London,West Midlands,Yorkshire and The Humber,North East,England,No formal qualifications,GCSE/GCE/O-Level,A-level,Apprenticeship,Undergraduate,Postgraduate,Other,Very likely,Fairly likely,Neither nor,Fairly unlikely,Very unlikely,Don't know,Yes,No,DK/Can't remember,Conservative,Labour,Liberal Democrats,SNP,Plaid Cymru,Reform,Green,Other,Independent,Don't Know,Would not vote,Yes,No,DK/Can't remember,Not eligible,Too Young,Leave,Remain,Stay out,Rejoin,Not vote,Don't know
UNR,Unweighted Base,1318,243,566,50,26,10,71,62,13,11,146,120,556,759,579,739,177,247,289,255,221,101,28,423,114,167,416,61,172,136,121,147,91,106,149,135,117,75,1158,72,380,334,63,302,156,11,746,277,90,49,126,30,911,346,61,346,387,51,34,8,26,24,15,3,2,15,875,266,64,59,54,462,413,414,649,136,119
PTR,Weighted Base,1173,254,442,64,33,8,70,56,7,9,103,128,568,605,503,670,182,205,222,211,163,155,34,334,89,122,329,52,175,118,92,132,109,94,164,113,70,53,1012,277,238,271,42,220,118,7,688,229,82,28,119,27,805,323,45,348,267,84,33,4,23,17,8,1,1,17,832,215,57,0,69,413,419,361,571,116,126
PRC,Stay out of the EU,361,122,114,12,2,*,50,12,3,3,25,17,204,157,94,267,15,46,60,77,60,79,23,120,39,33,80,19,67,26,14,50,24,26,43,44,23,25,317,85,87,77,17,55,37,2,250,62,9,6,28,5,299,59,2,202,48,19,3,1,11,9,2,*,*,4,319,29,10,0,3,288,31,361,0,0,0
RTV0,,31%,48%,26%,20%,7%,2%,71%,21%,43%,32%,24%,13%,36%,26%,19%,40%,8%,22%,27%,37%,37%,51%,68%,36%,44%,27%,24%,37%,38%,22%,15%,37%,22%,28%,26%,39%,32%,46%,31%,30%,37%,29%,40%,25%,31%,34%,36%,27%,11%,20%,24%,20%,37%,18%,5%,58%,18%,23%,9%,18%,46%,54%,21%,14%,42%,24%,38%,13%,17%,0%,4%,70%,8%,100%,0%,0%,0%
PRC,Rejoin the EU,571,90,284,35,30,8,9,37,3,4,45,27,288,282,306,264,123,119,122,86,80,31,9,145,43,66,190,26,64,66,46,65,68,42,83,53,35,23,477,93,101,151,16,134,73,3,361,127,41,15,20,6,392,155,24,95,196,51,28,3,13,1,2,*,*,2,404,98,22,0,46,66,338,0,571,0,0
RTV0,,49%,35%,64%,56%,91%,98%,13%,67%,37%,42%,43%,21%,51%,47%,61%,39%,68%,58%,55%,41%,49%,20%,26%,43%,48%,54%,58%,50%,37%,56%,49%,49%,62%,45%,51%,47%,50%,43%,47%,33%,42%,56%,37%,61%,62%,49%,53%,55%,50%,52%,17%,24%,49%,48%,52%,27%,73%,61%,84%,78%,54%,6%,26%,61%,58%,13%,49%,45%,39%,0%,67%,16%,81%,0%,100%,0%,0%
PRC,I would not vote this time,116,6,19,2,0,0,1,4,1,2,10,69,42,74,54,62,19,25,27,31,11,2,1,43,3,18,36,3,19,8,13,8,5,13,23,14,7,4,108,52,21,20,7,11,5,0,11,17,13,5,65,4,34,75,6,10,8,*,2,0,0,1,4,*,0,8,29,71,6,0,10,20,9,0,0,116,0
RTV0,,10%,3%,4%,4%,0%,0%,2%,8%,18%,22%,9%,54%,7%,12%,11%,9%,10%,12%,12%,15%,7%,1%,3%,13%,3%,15%,11%,5%,11%,7%,14%,6%,4%,13%,14%,12%,10%,8%,11%,19%,9%,7%,17%,5%,4%,0%,2%,8%,16%,19%,55%,13%,4%,23%,14%,3%,3%,*%,5%,0%,0%,5%,53%,26%,0%,47%,3%,33%,11%,0%,14%,5%,2%,0%,0%,100%,0%
PRC,Don’t know,126,36,24,14,1,0,10,2,*,*,24,15,34,93,49,77,25,15,13,17,11,43,1,26,4,5,24,4,25,18,20,11,12,12,15,2,5,2,110,48,29,22,2,20,3,1,64,23,19,3,6,11,79,34,13,41,15,14,1,*,0,6,0,0,0,3,79,18,19,0,10,38,41,0,0,0,126
RTV0,,11%,14%,5%,21%,2%,0%,14%,4%,2%,4%,23%,12%,6%,15%,10%,12%,14%,7%,6%,8%,7%,28%,3%,8%,5%,4%,7%,8%,14%,15%,22%,8%,11%,13%,9%,1%,8%,3%,11%,17%,12%,8%,6%,9%,3%,17%,9%,10%,23%,9%,5%,43%,10%,11%,28%,12%,6%,16%,2%,4%,0%,35%,0%,0%,0%,16%,9%,8%,33%,0%,15%,9%,10%,0%,0%,0%,100%
JF,Prepared by Omnisis Ltd : 26 April 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18-24,25-34,35-44,45-54,55-64,65-74,75+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stay out of the EU,15,46,60,77,60,79,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rejoin the EU,123,119,122,86,80,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I would not vote this time,19,25,27,31,11,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Don’t know,25,15,13,17,11,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wales,South East,East,East Midlands,North West,Scotland,South West,London,West Midlands,Yorkshire and The Humber,North East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stay out of the EU,19,67,26,14,50,24,26,43,44,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rejoin the EU,26,64,66,46,65,68,42,83,53,35,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I would not vote this time,3,19,8,13,8,5,13,23,14,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Don’t know,4,25,18,20,11,12,12,15,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leave,Remain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stay out of the EU,288,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rejoin the EU,66,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I would not vote this time,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Don’t know,38,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
